State,MedianEarnings,Less_than_highschool,Highschool,Some_college_Associates,Bachelors,Graduates_Professional
Alabama,43016,27789,34470,39855,57347,71030
Alaska,54606,30804,41338,52261,66719,87052
Arizona,46574,30398,36792,43812,61392,78782
Arkansas,41013,29018,34070,38116,54457,70376
California,51947,29750,38446,46575,75306,105279
Colorado,54695,35024,41596,46270,67578,83202
Connecticut,57895,29911,42224,48256,74929,95590
Delaware,50108,32502,38456,44714,64865,82816
District of Columbia,83447,29851,36093,47196,86371,117089
Florida,42465,27504,33773,40359,55528,72885
Georgia,46475,29323,35289,41362,63174,79138
Hawaii,50057,31846,40755,46447,59334,80428
Idaho,42572,31438,35563,39831,53104,72375
Illinois,51679,31280,37706,44840,68492,87244
Indiana,45900,31415,37447,43375,58184,74722
Iowa,47358,34302,38538,44484,59313,76582
Kansas,46846,32127,36397,42332,58777,71617
Kentucky,43131,26748,34705,40626,56922,67410
Louisiana,43929,27176,34837,39977,57439,66215
Maine,45497,31395,36542,42608,53346,69463
Maryland,60523,33131,42031,51386,75924,100856
Massachusetts,61481,33558,43492,49670,75687,97033
Michigan,46449,28213,35052,41716,62935,81344
Minnesota,54113,33094,39969,48085,68397,86029
Mississippi,39709,25363,32974,36994,50373,63251
Missouri,45564,28861,35770,41476,57944,71695
Montana,42352,28127,34557,38789,50037,67703
Nebraska,47570,33716,37196,43946,58191,74470
Nevada,44736,33455,37646,44153,56829,76920
New Hampshire,55273,35190,44342,48389,67542,83256
New Jersey,59346,31260,39913,49738,77066,102343
New Mexico,40772,24742,32566,37601,52592,73050
New York,54195,28885,38037,46546,71006,90705
North Carolina,45069,28425,34303,40221,58730,75410
North Dakota,50556,35724,41039,47750,57984,72325
Ohio,46709,28945,36811,42444,62823,79829
Oklahoma,43004,28933,35412,40647,54414,69405
Oregon,47487,31465,36722,43260,62127,82086
Pennsylvania,49745,30857,37689,44505,64219,83265
Rhode Island,52856,33759,41968,47033,66011,86889
South Carolina,43707,27171,34412,40647,57312,69675
South Dakota,45266,31206,36840,42511,54677,68224
Tennessee,44088,28958,34967,40917,57045,72070
Texas,47193,28921,35753,44146,65598,82768
Utah,49534,34583,39805,44387,59740,87987
Vermont,47640,33274,39151,42729,53801,71416
Virginia,55077,29521,38032,45948,71046,98170
Washington,56778,34397,42614,49205,74844,99777
West Virginia,41468,25606,35146,37807,52035,66740
Wisconsin,49061,33617,38969,45847,61624,76103
Wyoming,47368,31041,40358,43478,56495,70871
Puerto Rico,21198,12135,16442,19395,27844,39102
